mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_CDC40	ENCSR481WJH	75854	2144	876	23	-0.106376654507	76210.363222	0.0
HepG2_EIF4B	ENCSR237YZT	88253	2830	1295	43	0.0502997349661	88426.6558271	0.0
K562_AGO1	ENCSR084SCN	78590	2133	612	24	0.530964539057	79456.0358394	0.0
K562_EIF2S2	ENCSR118EFE	82962	2571	803	34	0.450255822678	83867.221972	0.0
HepG2_EFTUD2	ENCSR689PHN	85007	2682	971	37	0.272326384393	85684.6017736	0.0
K562_ZNF800	ENCSR341TTW	81701	2587	848	35	0.382364339955	82531.2751763	0.0
K562_PPIL4	ENCSR419JMU	80159	2499	1104	24	-0.520120251866	80417.4354723	0.0
HepG2_RPLP0	ENCSR105NML	92154	2937	573	20	0.131168383619	93908.699023	0.0
K562_RBM17	ENCSR118EFE	83559	2587	952	42	0.510942927259	84169.5281472	0.0
HepG2_RPL23A	ENCSR674KEK	88350	2734	637	28	0.506350346522	89758.8795041	0.0
HepG2_XRCC6	ENCSR491FOC	87736	2687	957	33	0.171119711895	88453.8439758	0.0
HepG2_STIP1	ENCSR279HMU	84357	2604	823	29	0.190938810365	85265.3522806	0.0
HepG2_QKI	ENCSR603TCV	89110	2861	1276	45	0.135436421088	89347.979324	0.0
HepG2_BCLAF1	ENCSR856ZRV	87473	2735	755	31	0.393088511821	88642.8679534	0.0
HepG2_SAFB2	ENCSR305XWT	84251	2493	912	43	0.672113762765	84844.6138919	0.0
K562_PABPC1	ENCSR419JMU	81773	2548	1178	35	-0.0686534202169	81912.4507226	0.0
HepG2_TIA1	ENCSR603TCV	87934	2802	926	37	0.326477217996	88820.2399386	0.0
HepG2_U2AF2	ENCSR104ABF	81348	2415	2477	79	0.103414377379	78729.0074961	0.0
K562_CNOT7	ENCSR419JMU	81745	2539	1458	57	0.331913199423	81281.2844575	0.0
HepG2_SERBP1	ENCSR689PHN	84593	2646	1058	54	0.706416909797	85029.3343886	0.0
K562_XRN2	ENCSR661HEL	79506	2375	917	40	0.546214491669	79978.2501061	0.0
K562_PUM2	ENCSR620PUP	89177	2917	906	38	0.358674648869	90215.6995998	0.0
HepG2_RBFOX2	ENCSR104ABF	82170	2493	1096	35	0.0739079128068	82416.1100445	0.0
K562_XRCC5	ENCSR815CVQ	82403	2628	752	36	0.585995830749	83462.3558135	0.0
K562_STAU1	ENCSR032YMP	81583	2527	1024	29	-0.129248014851	82017.1856795	0.0
K562_HNRNPA1	ENCSR438MDN	83269	2686	892	34	0.240811229801	84112.9857245	0.0
HepG2_LIN28B	ENCSR674KEK	88148	2712	792	44	0.852573751416	89195.8298964	0.0
K562_STIP1	ENCSR419JMU	81290	2562	1015	28	-0.192173582686	81778.979464	0.0
K562_DDX27	ENCSR245BNJ	79817	2407	601	25	0.464023016903	80976.7850236	0.0
HepG2_RRP9	ENCSR856ZRV	84731	2551	1158	64	0.87633555389	84855.431777	0.0
