sample	url
ENCFF621LMO	https://www.encodeproject.org/files/ENCFF621LMO/@@download/ENCFF621LMO.fastq.gz
ENCFF632NRD	https://www.encodeproject.org/files/ENCFF632NRD/@@download/ENCFF632NRD.fastq.gz
ENCFF043VJU	https://www.encodeproject.org/files/ENCFF043VJU/@@download/ENCFF043VJU.fastq.gz
ENCFF559ZLS	https://www.encodeproject.org/files/ENCFF559ZLS/@@download/ENCFF559ZLS.fastq.gz
ENCFF002CAQ	https://www.encodeproject.org/files/ENCFF002CAQ/@@download/ENCFF002CAQ.fastq.gz
ENCFF870YVZ	https://www.encodeproject.org/files/ENCFF870YVZ/@@download/ENCFF870YVZ.fastq.gz
ENCFF041YGN	https://www.encodeproject.org/files/ENCFF041YGN/@@download/ENCFF041YGN.fastq.gz
ENCFF653HYB	https://www.encodeproject.org/files/ENCFF653HYB/@@download/ENCFF653HYB.fastq.gz
ENCFF686WMY	https://www.encodeproject.org/files/ENCFF686WMY/@@download/ENCFF686WMY.fastq.gz
ENCFF807JYP	https://www.encodeproject.org/files/ENCFF807JYP/@@download/ENCFF807JYP.fastq.gz
ENCFF060PJQ	https://www.encodeproject.org/files/ENCFF060PJQ/@@download/ENCFF060PJQ.fastq.gz
ENCFF761WMV	https://www.encodeproject.org/files/ENCFF761WMV/@@download/ENCFF761WMV.fastq.gz
ENCFF173UFY	https://www.encodeproject.org/files/ENCFF173UFY/@@download/ENCFF173UFY.fastq.gz
ENCFF601NHH	https://www.encodeproject.org/files/ENCFF601NHH/@@download/ENCFF601NHH.fastq.gz
ENCFF096LNJ	https://www.encodeproject.org/files/ENCFF096LNJ/@@download/ENCFF096LNJ.fastq.gz
ENCFF768JSC	https://www.encodeproject.org/files/ENCFF768JSC/@@download/ENCFF768JSC.fastq.gz
ENCFF488MOL	https://www.encodeproject.org/files/ENCFF488MOL/@@download/ENCFF488MOL.fastq.gz
ENCFF783KPS	https://www.encodeproject.org/files/ENCFF783KPS/@@download/ENCFF783KPS.fastq.gz
ENCFF647LIH	https://www.encodeproject.org/files/ENCFF647LIH/@@download/ENCFF647LIH.fastq.gz
ENCFF794KGE	https://www.encodeproject.org/files/ENCFF794KGE/@@download/ENCFF794KGE.fastq.gz
ENCFF163IDA	https://www.encodeproject.org/files/ENCFF163IDA/@@download/ENCFF163IDA.fastq.gz
ENCFF693OKA	https://www.encodeproject.org/files/ENCFF693OKA/@@download/ENCFF693OKA.fastq.gz
ENCFF002BYR	https://www.encodeproject.org/files/ENCFF002BYR/@@download/ENCFF002BYR.fastq.gz
ENCFF714YYN	https://www.encodeproject.org/files/ENCFF714YYN/@@download/ENCFF714YYN.fastq.gz
ENCFF303JYO	https://www.encodeproject.org/files/ENCFF303JYO/@@download/ENCFF303JYO.fastq.gz
ENCFF530FPX	https://www.encodeproject.org/files/ENCFF530FPX/@@download/ENCFF530FPX.fastq.gz
ENCFF720AIL	https://www.encodeproject.org/files/ENCFF720AIL/@@download/ENCFF720AIL.fastq.gz
ENCFF292CKX	https://www.encodeproject.org/files/ENCFF292CKX/@@download/ENCFF292CKX.fastq.gz
