mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_RPLP0	ENCSR674KEK	85795	5790	670	44	-0.0393273478975	90162.5666092	0.0
K562_CELF1	ENCSR620PUP	86126	6160	673	56	0.21833880031	90833.7680023	0.0
HepG2_GRSF1	ENCSR279HMU	82833	5571	814	52	-0.074247846904	86680.4845497	0.0
K562_HNRNPF	ENCSR572FFX	78157	5473	488	42	0.29755141512	82573.3693047	0.0
K562_TAF15	ENCSR344XID	75021	4115	451	20	-0.306725370451	78196.8084595	0.0
K562_DDX21	ENCSR163JUC	82159	5929	464	22	-0.605991456361	87118.7021125	0.0
K562_ZC3H8	ENCSR718EWL	83440	6005	1007	73	0.0104795976874	87298.0404593	0.0
K562_SUPT6H	ENCSR164MUK	78981	5549	1759	67	-0.883244650846	80917.9839787	0.0
K562_AUH	ENCSR718EWL	84166	6092	575	27	-0.624280935908	89058.0479141	0.0
K562_DDX52	ENCSR661HEL	76939	5135	549	49	0.419326402056	80882.3849776	0.0
HepG2_LSM11	ENCSR674KEK	84985	5598	761	35	-0.518244793041	88998.0332189	0.0
HepG2_PCBP2	ENCSR491FOC	84042	5535	1140	83	0.14467659531	87147.7083218	0.0
K562_GRWD1	ENCSR572FFX	75526	5234	541	35	-0.0992142153353	79612.1092816	0.0
HepG2_XRN2	ENCSR856ZRV	82641	5725	801	59	0.0884947303159	86654.3717479	0.0
K562_SYNCRIP	ENCSR341TTW	76330	5130	1166	77	-0.0253460721212	78992.9673056	0.0
HepG2_SUGP2	ENCSR246RRQ	85911	6107	803	49	-0.220239218579	90321.8987018	0.0
K562_CKAP4	ENCSR324WIS	80415	5595	916	54	-0.239061686426	84080.9552529	0.0
K562_AKAP8	ENCSR143COQ	81290	5952	1090	52	-0.61804124496	84973.0698749	0.0
K562_DDX19B	ENCSR143COQ	83279	6050	755	46	-0.253825180549	87734.1945149	0.0
HepG2_ZRANB2	ENCSR491FOC	84181	5633	775	48	-0.111570728337	88175.5439418	0.0
HepG2_PHF6	ENCSR674KEK	84514	5649	639	44	0.0428824398977	88802.1741162	0.0
HepG2_PNPT1	ENCSR279HMU	82069	5502	734	58	0.237154071872	85994.1760852	0.0
K562_ASCC1	ENCSR913CAE	77704	5513	552	44	0.167986522054	82029.2725125	0.0
