mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_HNRNPF	ENCSR305XWT	86796	2962	644	24	0.127030634363	88426.9727479	0.0
HepG2_SF3B1	ENCSR264TUE	83213	2905	2144	130	0.796477485686	81631.0581554	0.0
HepG2_RPLP0	ENCSR674KEK	88463	3122	694	20	-0.292332031682	90162.5726139	0.0
K562_CELF1	ENCSR620PUP	88988	3298	697	32	0.308932652528	90833.7697554	0.0
HepG2_GRSF1	ENCSR279HMU	85396	3008	838	28	-0.076159489045	86680.4840211	0.0
K562_HNRNPF	ENCSR572FFX	80700	2930	504	26	0.506755898384	82573.3783747	0.0
K562_TAF15	ENCSR344XID	76928	2208	457	14	0.0940012909326	78196.8036314	0.0
K562_DDX21	ENCSR163JUC	84894	3194	474	12	-0.57155437311	87118.691632	0.0
K562_ZC3H8	ENCSR718EWL	86223	3222	1042	38	-0.0351676881916	87298.040679	0.0
K562_SUPT6H	ENCSR164MUK	81564	2966	1783	43	-0.59248420718	80917.6000181	0.0
K562_AUH	ENCSR718EWL	86983	3275	594	8	-1.48315246508	89058.0759208	0.0
K562_DDX52	ENCSR661HEL	79320	2754	573	25	0.329549073999	80882.3662391	0.0
HepG2_LSM11	ENCSR674KEK	87572	3011	779	17	-0.655861629274	88998.025605	0.0
HepG2_PCBP2	ENCSR491FOC	86579	2998	1185	38	-0.110798981431	87147.7006567	0.0
K562_GRWD1	ENCSR572FFX	77956	2804	556	20	8.8834078201e-05	79612.1081724	0.0
HepG2_XRN2	ENCSR856ZRV	85270	3096	827	33	0.136211480213	86654.3724901	0.0
K562_SYNCRIP	ENCSR341TTW	78713	2747	1198	45	0.106114014556	78992.9705473	0.0
HepG2_SUGP2	ENCSR246RRQ	88718	3300	825	27	-0.184673893851	90321.8926893	0.0
K562_CKAP4	ENCSR324WIS	83012	2998	936	34	0.00834573706684	84080.939438	0.0
K562_AKAP8	ENCSR143COQ	84050	3192	1110	32	-0.397628698449	84972.9799335	0.0
K562_DDX19B	ENCSR143COQ	86096	3233	771	30	0.0513043450222	87734.1827766	0.0
HepG2_ZRANB2	ENCSR491FOC	86748	3066	791	32	0.194867009745	88175.546613	0.0
HepG2_PHF6	ENCSR674KEK	87106	3057	660	23	-0.0101766181475	88802.1738491	0.0
HepG2_PNPT1	ENCSR279HMU	84588	2983	763	29	0.108058876743	85994.1643374	0.0
K562_ASCC1	ENCSR913CAE	80266	2951	566	30	0.527745530591	82029.2961607	0.0
K562_EIF2S1	ENCSR913CAE	81557	3029	663	30	0.284920760357	83205.6868429	0.0
K562_FMR1	ENCSR424QCW	76909	2563	1168	38	-0.0346499948976	77078.3015603	0.0
K562_LARP7	ENCSR572FFX	78258	2730	762	29	0.125599191861	79413.7276707	0.0
HepG2_NKRF	ENCSR246RRQ	88450	3285	851	33	0.062275664928	89975.5191948	0.0
K562_HNRNPU	ENCSR438MDN	83763	3148	809	26	-0.225750506445	85249.0282252	0.0
HepG2_MAGOH	ENCSR237YZT	87109	3223	2330	56	-0.622413626905	85623.296073	0.0
HepG2_MATR3	ENCSR237YZT	87729	3255	1682	53	-0.23571716045	87547.111427	0.0
K562_DDX55	ENCSR572FFX	75901	2624	829	34	0.246513818041	76808.4949881	0.0
C4-2B_ZFX	ENCSR142YZV	94650	3526	408	10	-0.603999120926	97341.7870929	0.0
HepG2_SUPT6H	ENCSR067GHD	86326	3240	878	35	0.0869353105355	87749.3080032	0.0
K562_RBFOX2	ENCSR667PLJ	76093	2862	729	24	-0.192144338352	77456.1853563	0.0
HepG2_PCBP1	ENCSR603TCV	87680	3236	1550	72	0.331836786699	87701.0027533	0.0
K562_RCC2	ENCSR572FFX	76370	2764	869	24	-0.390073363213	77358.0965827	0.0
K562_EXOSC9	ENCSR815CVQ	82621	3080	791	21	-0.489710195825	84084.716087	0.0
HepG2_SLBP	ENCSR042QTH	88246	3165	1007	34	-0.0871316458975	89340.8564059	0.0
K562_MAK16	ENCSR143COQ	84265	3213	1257	32	-0.58282829726	84919.0696576	0.0
HepG2_SBDS	ENCSR279HMU	85361	3046	851	21	-0.532108668481	86671.6287598	0.0
K562_UTP18	ENCSR143COQ	82866	3155	2311	58	-0.601252175708	81348.5163322	0.0
K562_CPSF7	ENCSR667PLJ	76247	2822	659	35	0.521039043563	77687.1298019	0.0
K562_SND1	ENCSR084SCN	76450	2291	605	15	-0.273433598723	77505.8859802	0.0
HepG2_DDX21	ENCSR003EKR	87724	3146	486	15	-0.216540886984	89870.7640095	0.0
HepG2_HNRNPA1	ENCSR305XWT	83523	2820	1011	33	-0.0487666983616	84267.6237694	0.0
HepG2_FAM120A	ENCSR689PHN	84347	3103	810	24	-0.312214442457	85789.9642081	0.0
HepG2_PUM2	ENCSR042QTH	89510	3229	1178	50	0.234621888229	90299.2773505	0.0
K562_DNAJC2	ENCSR667PLJ	76540	2812	768	23	-0.294855143181	77777.8942107	0.0
K562_SRSF9	ENCSR341TTW	81709	2967	790	30	0.0645999162456	83043.9414182	0.0
K562_WDR3	ENCSR174OYC	82616	3104	945	32	-0.149949770497	83777.1392438	0.0
K562_APOBEC3C	ENCSR620PUP	85498	3168	1030	36	-0.084257188807	86546.8175683	0.0
K562_HNRNPA0	ENCSR419JMU	79985	2830	1084	43	0.164971224495	80576.3443114	0.0
HepG2_RAVER1	ENCSR491FOC	83652	2700	1848	113	0.921798642067	82475.554392	0.0
